Month,ENG_RP,ENG_RB,ENG_NN,ENG_VB,ENG_FW,ENG_JJ,ENG_JJR,ENG_JJS,ENG_NNP,ENG_NNS,ENG_POS,ENG_RBR,ENG_RBS,ENG_VBD,ENG_VBG,ENG_VBN,ENG_VBP,ENG_VBZ
16-7-2014,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2-11-2014,1,5,201,5,34,47,0,0,58,12,0,0,0,5,0,2,5,16
12-7-2014,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
6-10-2016,0,5,7,0,0,2,0,0,3,4,0,0,0,1,0,0,1,0
21-1-2013,0,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0
10-9-2012,0,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
18-5-2016,0,2,7,0,0,3,0,0,28,0,0,0,0,0,1,0,0,0
20-4-2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-2-2015,0,2,8,0,0,4,0,0,1,1,0,0,0,0,1,1,1,0
4-1-2013,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16-10-2014,0,1,30,0,2,7,0,0,6,11,0,0,0,0,0,0,4,2
8-6-2016,0,2,12,1,0,0,0,1,5,3,0,0,0,1,0,0,0,0
29-3-2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-10-2011,0,4,29,3,0,6,0,0,5,5,0,0,0,2,0,2,2,0
9-11-2011,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11-11-2014,0,1,5,1,0,3,0,0,2,1,0,0,0,0,0,0,1,0
2-4-2016,0,2,71,1,21,24,0,0,14,12,0,0,0,4,1,0,11,8
21-8-2014,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
19-7-2011,0,0,13,0,3,3,0,0,11,2,0,0,0,0,0,0,1,1
2-8-2015,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
29-3-2016,0,3,92,3,8,12,0,0,4,5,0,0,0,0,2,0,5,2
23-6-2014,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
10-10-2014,0,1,62,1,0,11,0,0,13,3,0,0,0,0,0,0,0,3
10-12-2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3-10-2014,0,1,36,0,3,2,0,0,5,7,0,0,0,0,0,0,0,2
14-5-2016,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
14-8-2014,0,2,43,0,7,1,0,0,15,3,0,0,0,3,0,0,1,2
12-1-2016,0,2,37,0,0,8,0,0,8,6,0,0,0,1,0,0,1,2
11-7-2016,0,5,19,0,0,5,0,0,27,5,0,0,0,1,0,0,4,2
29-6-2015,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11-10-2014,0,0,52,1,7,11,0,0,19,7,1,0,0,1,0,0,4,3
18-10-2015,0,0,12,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0
12-7-2016,0,1,8,0,0,2,0,0,2,6,0,0,0,0,0,0,2,0
16-2-2015,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-9-2012,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
30-7-2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-12-2014,0,0,57,0,8,4,0,0,7,5,0,0,0,4,0,0,2,2
25-10-2011,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-7-2015,0,0,60,0,3,10,0,1,6,0,4,0,0,0,0,0,0,0
29-11-2015,0,0,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29-10-2015,0,2,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
16-7-2016,0,9,209,2,18,50,0,0,31,31,0,0,0,2,0,1,21,5
29-9-2016,0,1,12,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0
29-4-2013,0,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
25-7-2016,0,3,118,0,17,31,0,0,35,9,0,0,0,1,1,0,6,11
2-11-2015,0,1,20,2,0,3,0,0,8,4,2,0,0,0,1,0,2,0
16-3-2015,0,1,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1-12-2015,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
26-11-2015,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
22-8-2013,0,5,41,4,1,9,0,0,4,6,0,0,0,1,0,0,6,5
16-11-2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-9-2012,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5-11-2015,0,0,16,0,0,1,0,0,7,2,0,0,0,1,0,0,1,0
